co_kV:	690.0026667
co_mA:	34689.19811
co_sec:	29106
co_D:	-67396.55975
co_size_times:	3.9982002504686105

calculate formula:
DAP_uGym2 = (co_kV*kV + co_mA*mA + co_sec*sec + co_D) * co_size_times / 100000


kV	uA	ms	DAP_uGym2
61	3150	1100	4.637159707919068
61	3150	1250	4.811717132654277
61	3150	1400	4.9862745573894856
61	4000	500	5.117832073839868
61	4000	550	5.176017882084937
61	4000	625	5.263296594452542
61	4000	700	5.350575306820147
61	4000	800	5.466946923310284
61	4000	900	5.583318539800426
61	4000	1000	5.699690156290564
61	4000	1100	5.816061772780706
61	4000	1250	5.990619197515913
61	4000	1400	6.165176622251122
61	5000	500	6.504775679559439
61	5000	550	6.562961487804508
61	5000	625	6.650240200172114
61	5000	700	6.737518912539719
61	5000	800	6.853890529029857
61	5000	900	6.970262145519999
61	5000	1000	7.086633762010137
61	5000	1100	7.2030053785002774
61	5000	1250	7.3775628032354845
61	5000	1400	7.552120227970695
62	500	500	0.2911171421696049
62	500	550	0.34930295041467463
62	500	625	0.43658166278227906
62	500	700	0.5238603751498836
62	500	800	0.6402319916400231
62	500	900	0.7566036081301621
62	500	1000	0.8729752246203017
62	500	1100	0.9893468411104414
62	500	1250	1.1639042658456502
62	500	1400	1.338461690580859
62	625	500	0.4644850928845514
62	625	550	0.5226709011296212
62	625	625	0.6099496134972257
62	625	700	0.6972283258648301
62	625	800	0.8135999423549697
62	625	900	0.9299715588451087
62	625	1000	1.0463431753352483
62	625	1100	1.162714791825388
62	625	1250	1.3372722165605968
62	625	1400	1.5118296412958057
62	800	500	0.7072002238854765
62	800	550	0.7653860321305463
62	800	625	0.8526647444981508
62	800	700	0.9399434568657552
62	800	800	1.056315073355895
62	800	900	1.172686689846034
62	800	1000	1.2890583063361734
62	800	1100	1.4054299228263132
62	800	1250	1.579987347561522
62	800	1400	1.754544772296731
62	1000	500	0.9845889450293911
62	1000	550	1.0427747532744607
62	1000	625	1.1300534656420653
62	1000	700	1.2173321780096695
62	1000	800	1.3337037944998094
62	1000	900	1.4500754109899483
62	1000	1000	1.566447027480088
62	1000	1100	1.6828186439702275
62	1000	1250	1.8573760687054364
62	1000	1400	2.031933493440645
62	1250	500	1.3313248464592842
62	1250	550	1.3895106547043539
62	1250	625	1.4767893670719585
62	1250	700	1.5640680794395627
62	1250	800	1.6804396959297023
62	1250	900	1.7968113124198415
62	1250	1000	1.913182928909981
62	1250	1100	2.0295545454001207
62	1250	1250	2.2041119701353296
62	1250	1400	2.3786693948705384
62	1575	500	1.7820815183181453
62	1575	550	1.840267326563215
62	1575	625	1.9275460389308194
62	1575	700	2.014824751298424
62	1575	800	2.1311963677885633
62	1575	900	2.2475679842787026
62	1575	1000	2.363939600768842
62	1575	1100	2.480311217258982
62	1575	1250	2.6548686419941903
62	1575	1400	2.8294260667293996
62	2000	500	2.3715325507489635
62	2000	550	2.429718358994033
62	2000	625	2.5169970713616374
62	2000	700	2.6042757837292414
62	2000	800	2.7206474002193826
62	2000	900	2.8370190167095206
62	2000	1000	2.9533906331996604
62	2000	1100	3.0697622496898003
62	2000	1250	3.2443196744250087
62	2000	1400	3.418877099160218
62	2500	500	3.0650043536087495
62	2500	550	3.123190161853819
62	2500	625	3.2104688742214242
62	2500	700	3.2977475865890273
62	2500	800	3.4141192030791685
62	2500	900	3.530490819569307
62	2500	1000	3.6468624360594464
62	2500	1100	3.763234052549586
62	2500	1250	3.937791477284795
62	2500	1400	4.1123489020200035
